endTime,podcastName,episodeName,msPlayed,hourlyTime
2024-11-28 23:48:00,Crime Junkie,MISSING: Brian Wehrle from Atlanta,3140,2024-11-28 23:00:00
2024-11-29 18:26:00,Behind You,Teens Kill their Father for Remarrying After Mom Dies: Case of Tim Mcneil,1379866,2024-11-29 18:00:00
2024-11-30 18:28:00,Saving Grace,137: Charlotte Dawson Reveals ALL On Relationship Haters & Being A Baddie With a Bump!,2608244,2024-11-30 18:00:00
2024-12-02 18:06:00,Crime Junkie,INFAMOUS: The Lake Waco Murders Part 1,3875217,2024-12-02 18:00:00
2024-12-03 01:20:00,The Useless Hotline,Max Drives George To The Office and They Expose Max's Search History!!,462380,2024-12-03 01:00:00
2024-12-03 23:44:00,The Deck,The Deck Investigates S1 | Part 1,3415649,2024-12-03 23:00:00
2024-12-03 23:45:00,The Deck,"Jeannette Drzewiecki (8 of Diamonds, Texas)",42100,2024-12-03 23:00:00
2024-12-04 17:57:00,The Deck,The Deck Investigates S1 | Part 1,1466078,2024-12-04 17:00:00
2024-12-05 18:01:00,Crime Junkie,MYSTERIOUS DEATH OF: Joyce Chiang in Fairfax,2465253,2024-12-05 18:00:00
2024-12-05 18:36:00,The Deck,"John Phillips (Jack of Diamonds, Rhode Island)",2074932,2024-12-05 18:00:00
2024-12-05 20:41:00,Behind You,The Seductive Suburban Housewife that Got away with Murder: case of Kent Leppink,1386837,2024-12-05 20:00:00
2024-12-07 20:26:00,The Deck,"Wojciech Fudali (3 of Spades, Rhode Island)",378770,2024-12-07 20:00:00
2024-12-09 14:19:00,Crime Junkie,INFAMOUS: The Lake Waco Murders Part 2,4270741,2024-12-09 14:00:00
2024-12-09 14:52:00,The Deck,"Elisa Gano (Queen of Diamonds, Arizona)",1444730,2024-12-09 14:00:00
2024-12-11 14:38:00,Chloe Vs The World,"Tennessee Talks TRUTH About Relationship With Danny Aarons, PREGNANCY, & LockedIn DRAMA!",1530,2024-12-11 14:00:00
